zip_code,latitude,longitude,city,state,county
73441,33.894135,-97.247886,Leon,Oklahoma,Love
73442,34.48532,-97.852223,Loco,Oklahoma,Stephens
73443,34.141332,-97.321977,Lone Grove,Oklahoma,Carter
73444,34.680871,-97.300429,Hennepin,Oklahoma,Garvin
73446,34.010202,-96.754984,Madill,Oklahoma,Marshall
73447,34.183418,-96.878673,Mannsville,Oklahoma,Johnston
73448,33.935268,-97.111939,Marietta,Oklahoma,Love
73449,33.971979,-96.457371,Mead,Oklahoma,Bryan
73450,34.310191,-96.670349,Milburn,Oklahoma,Johnston
73453,33.894135,-97.247886,Overbrook,Oklahoma,Love
73455,34.244023,-96.752906,Ravia,Oklahoma,Johnston
73456,34.200318,-97.810259,Ringling,Oklahoma,Jefferson
73458,34.304534,-97.134372,Springer,Oklahoma,Carter
73459,33.894135,-97.247886,Thackerville,Oklahoma,Love
73460,34.275856,-96.655188,Tishomingo,Oklahoma,Johnston
73461,34.371445,-96.429558,Wapanucka,Oklahoma,Johnston
73463,34.169282,-97.354691,Wilson,Oklahoma,Carter
73476,34.680871,-97.300429,Pernell,Oklahoma,Garvin
73481,34.288884,-97.248074,Ratliff City,Oklahoma,Carter
73487,34.288884,-97.248074,Tatums,Oklahoma,Carter
73488,34.288884,-97.248074,Tussy,Oklahoma,Carter
73491,34.456505,-97.668866,Velma,Oklahoma,Stephens
73501,34.635378,-98.448452,Lawton,Oklahoma,Comanche
73502,34.630879,-98.457646,Lawton,Oklahoma,Comanche
73503,34.663978,-98.437482,Fort Sill,Oklahoma,Comanche
73505,34.678734,-98.436365,Lawton,Oklahoma,Comanche
73506,34.630879,-98.457646,Lawton,Oklahoma,Comanche
73507,34.560957,-98.387482,Lawton,Oklahoma,Comanche
73520,34.069661,-97.838026,Addington,Oklahoma,Jefferson
73521,34.663039,-99.280343,Altus,Oklahoma,Jackson
73522,34.723795,-99.383928,Altus,Oklahoma,Jackson
73523,34.598197,-99.440839,Altus Afb,Oklahoma,Jackson
73526,34.783568,-99.331758,Blair,Oklahoma,Jackson
73527,34.545031,-98.508297,Cache,Oklahoma,Comanche
73528,34.424316,-98.654352,Chattanooga,Oklahoma,Comanche
73529,34.393689,-97.970651,Comanche,Oklahoma,Stephens
73530,34.242236,-99.076314,Davidson,Oklahoma,Tillman
73531,34.284738,-98.40044,Devol,Oklahoma,Cotton
73532,34.663508,-99.569018,Duke,Oklahoma,Jackson
73533,34.547749,-97.933279,Duncan,Oklahoma,Stephens
73534,34.518944,-97.973331,Duncan,Oklahoma,Stephens
73536,34.48532,-97.852223,Duncan,Oklahoma,Stephens
73537,34.472021,-99.647324,Eldorado,Oklahoma,Jackson
73538,34.609391,-98.406833,Elgin,Oklahoma,Comanche
73539,34.481717,-99.347951,Elmer,Oklahoma,Jackson
73540,34.630879,-98.457646,Faxon,Oklahoma,Comanche
73541,34.826905,-98.228076,Fletcher,Oklahoma,Comanche
73542,34.386281,-99.001688,Frederick,Oklahoma,Tillman
73543,34.482402,-98.381879,Geronimo,Oklahoma,Comanche
73544,34.768632,-99.833341,Gould,Oklahoma,Harmon
73546,34.362887,-98.911705,Grandfield,Oklahoma,Tillman
73547,34.950884,-99.394148,Granite,Oklahoma,Greer
73548,34.069661,-97.838026,Hastings,Oklahoma,Jefferson
73549,34.626509,-99.139047,Headrick,Oklahoma,Jackson
73550,34.694028,-99.912395,Hollis,Oklahoma,Harmon
73551,34.381102,-98.923769,Hollister,Oklahoma,Tillman
73552,34.618969,-98.75235,Indiahoma,Oklahoma,Comanche
